University Name,Acceptance Rate,Enrolments,Website,Response Type,Degrees Offered,"Global Ranking(14,131)","Continent Wise(5,830)",National Ranking(175),City Wise,City Ranking,No of employees,Publications ,Citations per Faculty
Ghulam Ishaq Khan Institute of Engineering Sciences and Technology Rankings,5%,"1,500",giki.edu.pk,Private,Doctorate,#4992,#1788,#39,Physics,#819,75,790,"9,077"
"University of Engineering and Technology, Peshawar: Statistics",25%,"5,500",uetpeshawar.edu.pk,Public-privatepartnership,Doctorate,#5060,#1813,#40,Peshawar,#2,350,"1,500","14,277"
University of Gujrat: Statistics,75%,"17,500",uog.edu.pk,Public-privatepartnership,Bachelor,#5101,#1830,#41,Engineering,#771,350,"1,990","19,556"
Shaheed Zulfiqar Ali Bhutto Institute of Science and Technology: Statistics,15%,"5,500",szabist.edu.pk,Private,Doctorate,#5108,#1834,#42,Karachi,#5,150,862,"5,720"
Hamdard University: Statistics,35%*,"5,500",www.hamdard.edu.pk,Private,Doctorate,#5114,#1838,#43,Karachi,#6,450,"3,068","85,423"
Gomal University: Statistics,40%*,"5,500",www.gu.edu.pk,Public-privatepartnership,Bachelor,#5125,#1844,#44,Khan,#1,350,"1,389","10,411"
"University of Health Sciences, Lahore Rankings",44%*,"1,500",uhs.edu.pk,Public-privatepartnership,Bachelor,#5132,#1847,#45,Lahore,#12,25,811,"11,617"
University of Balochistan: Statistics,48%*,"12,500",www.uob.edu.pk,Public-privatepartnership,Doctorate,#5251,#1903,#46,Quetta,#1,450,892,"8,379"
"Federal Urdu University of Arts, Sciences and Technology: Statistics",52%*,"12,500",fuuast.edu.pk,Public-privatepartnership,Bachelor,#5312,#1938,#47,Cartography,#2234,450,"1,218","8,282"
University of Veterinary and Animal Sciences: Statistics,60%*,"4,500",uvas.edu.pk,Public-privatepartnership,Bachelor,#5351,#1954,#48,Lahore,#13,350,"2,443","25,414"
Foundation University Islamabad: Statistics,66%*,"5,500",fui.edu.pk,Private,Doctorate,#5365,#1959,#49,Islamabad,#10,550,"2,118","54,583"
University of Education - Pakistan: Statistics,95%,"22,500",ue.edu.pk,Public-privatepartnership,Doctorate,#5389,#1968,#50,Lahore,#14,450,972,"5,162"
Khyber Medical University: Statistics,53%*,"2,500",kmu.edu.pk,Public-privatepartnership,Bachelor,#5428,#1981,#51,Peshawar,#3,150,784,"6,877"
Air University: Statistics,14%,"3,500",au.edu.pk,Public-privatepartnership,Bachelor,#5473,#1999,#52,Islamabad,#11,250,"1,260","8,280"
Hazara University: Statistics,44%*,"12,500",hu.edu.pk,Public-privatepartnership,Bachelor,#5534,#2024,#53,Engineering,#996,350,"2,114","21,912"
Pakistan Institute of Development Economics: Statistics,55%,375,pide.org.pk,Public-privatepartnership,Doctorate,#5537,#2025,#54,Islamabad,#12,25,574,"6,997"
Jinnah Sindh Medical University Rankings,54%*,"1,500",jsmu.edu.pk,Public-privatepartnership,Doctorate,#5606,#2055,#55,Karachi,#7,150,571,"2,114"
National University of Modern Languages: Statistics,55%,"12,500",numl.edu.pk,Public-privatepartnership,Doctorate,#5731,#2108,#56,Islamabad,#13,550,724,"2,568"
Iqra University: Statistics,55%*,"5,500",iqra.edu.pk,Private,,#5762,#2118,#57,Karachi,#8,350,"1,082","8,952"
Institute of Space Technology: Statistics,51%*,"1,500",ist.edu.pk,Public-privatepartnership,Master,#5785,#2130,#58,Islamabad,#14,150,870,"7,908"
Islamia College Peshawar: Statistics,51%*,"4,500",icp.edu.pk,Public-privatepartnership,Doctorate,#5819,#2148,#59,Peshawar,#4,350,"1,241","15,151"
Kinnaird College for Women Rankings,58%*,"3,500",www.kinnaird.edu.pk,Public-privatepartnership,,#6088,#2262,#60,Lahore,#15,150,303,"1,724"
Sukkur Institute of Business Administration: Statistics,53%*,"3,500",iba-suk.edu.pk,Public-privatepartnership,Bachelor,#6090,#2263,#61,(AI),#2619,150,780,"6,457"
Sindh Agriculture University: Statistics,54%*,"6,500",sau.edu.pk,Public-privatepartnership,Bachelor,#6102,#2271,#62,Toxicology,#768,250,765,"6,242"
Ziauddin University: Statistics,55%*,"1,500",zu.edu.pk,Private,Doctorate,#6152,#2291,#63,Karachi,#9,150,"1,116","10,735"
Kohat University of Science and Technology: Statistics,56%*,"3,500",kust.edu.pk,Public-privatepartnership,Doctorate,#6241,#2328,#64,Kohat,#1,150,"1,446","18,481"
"University of Agriculture, Peshawar: Statistics",65%,"7,500",aup.edu.pk,Public-privatepartnership,Doctorate,#6272,#2343,#65,Peshawar,#5,350,"1,198","19,865"
Lahore School of Economics Rankings,55%,"3,500",lahoreschoolofeconomics.edu.pk,Private,Doctorate,#6275,#2345,#66,Lahore,#16,150,372,"3,064"
Mohammad Ali Jinnah University: Statistics,55%,"7,500",www.jinnah.edu,Private,Bachelor,#6309,#2359,#67,Karachi,#10,150,829,"10,280"
"Balochistan University of Information Technology, Engineering and Management Sciences: Statistics",25%,"7,033",www.buitms.edu.pk,Public-privatepartnership,Doctorate,#6322,#2365,#68,Quetta,#2,414,722,"6,324"
University of Azad Jammu and Kashmir: Statistics,46%*,"4,500",ajku.edu.pk,Public-privatepartnership,Bachelor,#6367,#2381,#69,Radiochemistry,#1532,150,"1,082","10,442"
Isra University: Statistics,55%,"4,500",isra.edu.pk,Private,Bachelor,#6374,#2385,#70,Therapy,#1544,450,969,"6,211"
Rawalpindi Medical University Rankings,52%*,,rmc.edu.pk,Public-privatepartnership,Doctorate,#6383,#2389,#71,Rawalpindi,#3,2021,Associate's,Bachelor's
Karachi Institute of Economics and Technology Rankings,55%,"5,500",pafkiet.edu.pk,Private,,#6406,#2403,#72,Karachi,#11,350,238,"2,763"
National Textile University Rankings,52%*,"1,500",ntu.edu.pk,Public-privatepartnership,Bachelor,#6428,#2414,#73,Faisalabad,#3,150,819,"8,418"
Shah Abdul Latif University Rankings,54%*,"7,697",salu.edu.pk,Public-privatepartnership,Bachelor,#6481,#2442,#74,Khairpur,#1,184,468,"2,771"
Karakurum International University Rankings,55%,"3,500",www.kiu.edu.pk,Public-privatepartnership,Doctorate,#6516,#2457,#75,Nill,Nill,150,451,"3,125"
Baqai Medical University Rankings,53%*,"1,500",baqai.edu.pk,Private,Bachelor,#6519,#2460,#76,Karachi,#12,250,509,"4,936"
University of Malakand: Statistics,51%*,"4,500",www.uom.edu.pk,Public-privatepartnership,Bachelor,#6522,#2462,#77,Mathematics,#780,250,"1,884","28,266"
"University of Science and Technology, Bannu: Statistics",45%,"2,500",ustb.edu.pk,Public-privatepartnership,Master,#6553,#2478,#78,Engineering,#742,150,"1,784","19,344"
Sarhad University of Science and Information Technology Rankings,55%,"4,500",www.suit.edu.pk,Private,Doctorate,#6558,#2482,#79,Peshawar,#6,250,448,"4,940"
University of Haripur: Statistics,48%*,"1,500",uoh.edu.pk,Public-privatepartnership,,#6656,#2526,#80,Horticulture,#1005,150,827,"4,547"
Beaconhouse National University Rankings,44%*,"1,500",bnu.edu.pk,Private,Doctorate,#6667,#2532,#81,Lahore,#17,150,97,139
Fatima Jinnah Medical University Rankings,42%*,"1,500",fjmu.edu.pk,Public-privatepartnership,Doctorate,#6826,#2599,#82,Lahore,#18,150,296,"1,772"
Jinnah University for Women Rankings,41%*,"5,500",www.juw.edu.pk,Private,Bachelor,#6828,#2600,#83,Karachi,#13,250,535,"1,712"
"Quaid-e-Awam University of Engineering, Science and Technology Rankings",45%,"4,500",quest.edu.pk,Public-privatepartnership,Doctorate,#6866,#2620,#84,Nawabshah,#1,250,426,"3,581"
Mirpur University of Science and Technology Rankings,34%*,"3,500",must.edu.pk,Public-privatepartnership,,#6894,#2635,#85,Science,#2787,250,730,"7,074"
Sir Syed University of Engineering and Technology Rankings,5%,"6,500",www.ssuet.edu.pk,Private,Master,#6897,#2637,#86,Karachi,#14,450,359,"1,394"
National College of Business Administration and Economics Rankings,55%,"4,500",www.ncbae.edu.pk,Private,Doctorate,#6988,#2680,#87,Lahore,#19,150,529,"3,900"
HITEC University Rankings,44%*,"1,500",hitecuni.edu.pk,Private,,#6989,#2681,#88,Taxila,#2,75,653,"8,689"
Preston University Rankings,45%,"12,500",preston.edu.pk,Private,Doctorate,#7062,#2714,#89,Kohat,#2,75,228,"2,224"
Dawood University of Engineering and Technology Rankings,55%,"2,500",duet.edu.pk,Public-privatepartnership,Bachelor,#7072,#2722,#90,Karachi,#15,150,241,"3,054"
Sindh Madresatul Islam University Rankings,45%,"1,937",smiu.edu.pk,Public-privatepartnership,,#7126,#2745,#91,Karachi,#16,280,144,294
"Indus University, Pakistan Rankings",45%,"6,500",indus.edu.pk,Private,Doctorate,#7153,#2756,#92,Karachi,#17,350,313,982
CECOS University Rankings,48%*,"2,500",www.cecos.edu.pk,Private,Bachelor,#7193,#2782,#93,Peshawar,#7,150,295000,1100000
University of Swat Rankings,51%*,"1,411",uswat.edu.pk,Public-privatepartnership,,#7284,#2828,#94,Mathematics,#1295,182,578,"5,126"
Bacha Khan University Rankings,52%*,"2,500",bkuc.edu.pk,Public-privatepartnership,,#7300,#2836,#95,Chemistry,#3428,150,471,"4,511"
"Government College Women University, Faisalabad Rankings",54%*,"4,500",gcwuf.edu.pk,Public-privatepartnership,Bachelor,#7336,#2851,#96,Faisalabad,#4,150,463,"5,210"
University of Wah Rankings,56%,"4,500",uow.edu.pk,Private,Doctorate,#7352,#2857,#97,Science,#3547,150,394,"3,184"
Abasyn University Rankings,55%,"4,500",abasyn.edu.pk,Private,Doctorate,#7409,#2880,#98,Peshawar,#8,250,352,"1,843"
Shaheed Benazir Bhutto Women University Rankings,55%,"4,500",sbbwu.edu.pk,Public-privatepartnership,,#7430,#2888,#99,Peshawar,#9,150,240,"1,040"
"Government College for Women University, Sialkot Rankings",58%*,"7,500",www.gcwus.edu.pk,Public-privatepartnership,Doctorate,#7540,#2939,#100,Nill,Nill,150,for,"University,"
